time,open,high,low,close
1714582800,56993.63,57623.16,56598.64,57426.78
1714586400,57426.78,59402.81,57303.84,58866.99
1714590000,58866.99,59208.94,56854.69,56916.38
1714593600,56916.79,57479.84,56722.01,57315.16
1714597200,57315.71,58110.68,57213.06,57855.01
1714600800,57855.95,58143.34,57815.74,57832.61
1714604400,57832.6,58490.35,57778.98,58301.58
1714608000,58302.44,58504.11,57571.61,57683.19
1714611600,57683.19,57813.64,56904.17,57027.89
1714615200,57028.17,57550.62,57027.4,57379.72
1714618800,57379.77,57610.1,57299.72,57365.02
1714622400,57364.93,57557.84,57227.52,57314.35
1714626000,57314.32,57449.73,57134.52,57402.76
1714629600,57403.72,57637.49,57330.74,57545.71
1714633200,57546.07,57826.27,57544.25,57594.62
1714636800,57594.62,57889.54,57535.1,57753.17
1714640400,57753.17,57813.38,57563.83,57719.89
1714644000,57719.89,57813.68,57503.85,57723.97
1714647600,57723.97,58590.39,57705.69,58473
1714651200,58473,59020.17,58374.06,58474.25
1714654800,58474.25,58703.68,58161.13,58363.23
1714658400,58361.96,59207.18,58225.07,58973.81
1714662000,58973.25,59358.36,58888.84,59177.97
1714665600,59177.97,59222.82,58870.15,58933.07
1714669200,58933.37,59194.05,58870.27,59107.22
1714672800,59107.22,59475.37,58904.59,59304.89
1714676400,59304.89,59304.89,58949.69,59270.27
1714680000,59269.99,59339.81,58574.56,58642.88
1714683600,58642.87,59521.43,58621.55,59027.69
1714687200,59028.16,59364.22,58996.24,59244.26
1714690800,59244.16,59292.16,58985.44,58987.16
1714694400,58983.69,59129.53,58815.9,59032.58
1714698000,59032.57,59491.36,59003.73,59312.42
1714701600,59312.72,59899.24,59261.53,59544.17
1714705200,59544.17,59991.48,59509.65,59720.46
1714708800,59720.46,59840.65,59549.88,59603.07
1714712400,59603.07,59623.76,59473.08,59523.62
1714716000,59523.47,59572,59242.82,59258.13
1714719600,59257.58,59426.94,59081.6,59188.65
1714723200,59188.66,59386.98,59135.33,59223.8
1714726800,59223.8,59574.27,59200.38,59480.09
1714730400,59480.32,59484.89,58862,59041.53
1714734000,59041.53,59412.85,58876.25,59289.21
1714737600,59289.29,60747.78,59000.71,60648.13
1714741200,60647.83,61771.82,60527.44,61684.84
1714744800,61683.73,62092.3,61381.71,61617.43
1714748400,61617.43,61788.42,61345.82,61677.45
1714752000,61677.9,62150.1,61549.15,61682.31
1714755600,61682.76,61951.29,61542.96,61809.45
1714759200,61810.07,61981.44,61702.31,61829.57
1714762800,61829.57,62090.48,61598.12,62072.72
1714766400,62070.31,63174.15,61974.04,62894.18
1714770000,62894.19,62941.28,62373.51,62726.13
1714773600,62726.13,62994.38,62640.66,62789.83
1714777200,62789.83,63314.35,62769.77,62875.31
1714780800,62875.31,63186.47,62790.6,63100.56
1714784400,63100.56,63587.1,62847.47,62883.73
1714788000,62881.84,62924.73,62592.49,62721.4
1714791600,62720.95,62899.6,62684.34,62740.63
1714795200,62740.63,63197.02,62709.27,63075.96
1714798800,63077.34,63464.38,62977.96,63406.54
1714802400,63406.94,63412.05,62930.54,62990.78
1714806000,62990.99,63149.75,62905.96,62982.57
1714809600,62982.57,63240.25,62948.4,63186.54
1714813200,63186.79,63321.53,63078.72,63198.45
1714816800,63198.26,64485.23,63132.23,64460.71
1714820400,64459.32,64546.76,63716.58,63891.54
1714824000,63892.82,64114.77,63787.97,64088.68
1714827600,64088.68,64173.92,63482.07,63750.85
1714831200,63751.32,63974.4,63573.3,63841.69
1714834800,63841.69,63866.81,63485.3,63632.14
1714838400,63632.15,63743.79,63433.02,63705.79
1714842000,63705.79,63775.15,63363.91,63486.52
1714845600,63486.52,63766.11,63425.73,63667.28
1714849200,63667.28,64029.8,63568.57,63941.96
1714852800,63941.97,64214.6,63879.86,63891.63
1714856400,63891.58,64136.05,63579.52,63923.91
1714860000,63923.91,63962.88,63608.89,63643.78
1714863600,63643.07,63950.55,63633.05,63915.26
1714867200,63915.26,64185.94,63437.41,63520.46
1714870800,63520.46,63589.93,62904.48,63320.3
1714874400,63320.3,63427.43,63148.34,63148.62
1714878000,63148.9,63278.1,63020.02,63243.47
1714881600,63243.47,63427.29,63240.76,63352.12
1714885200,63351.93,63498.9,63152.16,63218.31
1714888800,63217.91,63465.46,63171.44,63389.99
1714892400,63389.99,63954.58,63369.16,63744.21
1714896000,63744.25,63927.61,63559.4,63676.39
1714899600,63676.4,63746.68,63567.85,63680.37
1714903200,63680.42,63848.23,63570.34,63695.45
1714906800,63695.73,63939.49,63628.25,63866.99
1714910400,63866.99,63888.47,63651.13,63733.52
1714914000,63732.62,64273.06,63635.02,64125.64
1714917600,64125.64,64147.36,63768.6,64104.86
1714921200,64105.93,64626.95,64005.51,64435.08
1714924800,64435.94,64545.9,64210.37,64325.78
1714928400,64325.94,64479.6,64174.36,64223.28
1714932000,64223.74,64253.59,63836.57,63941.64
1714935600,63941.64,64007.06,63855.35,63886.42
1714939200,63886.42,63886.96,63595.85,63745.37
1714942800,63745.3,63872.79,63613.4,63872.79
1714946400,63872.34,63895.69,63712.43,63867.16
1714950000,63867.16,64234.45,63836.65,64019.93
1714953600,64019.14,64348.33,64019.14,64226.48
1714957200,64226.39,64467.93,64071.9,64154.76
1714960800,64154.76,64234.58,63838.97,63838.97
1714964400,63838.55,63944.15,63719.58,63874.54
1714968000,63874.38,64184.33,63781.31,64168.62
1714971600,64168.61,64332.83,64043.52,64191.1
1714975200,64191.1,64466.85,64144.89,64237.27
1714978800,64237.27,64574.16,64156.09,64544.05
1714982400,64544.75,65490.54,64470.19,65152.03
1714986000,65152.03,65361.28,65119.46,65168.37
1714989600,65167.24,65276.67,63849.33,64024.37
1714993200,64024.37,64365.12,64015.13,64209.08
1714996800,64207.7,64323.21,63363.77,63595.36
1715000400,63595.25,63980.06,63458.84,63879.79
1715004000,63879.85,64218.99,63230.59,63282.95
1715007600,63282.56,63743.61,62938.64,63641.49
1715011200,63641.89,63748.25,63113.46,63196.64
1715014800,63197.53,63508.09,62976.38,63168.54
1715018400,63168.69,63525,62977.09,63407.36
1715022000,63407.01,63410.78,62722.88,63214.1
1715025600,63215.09,63410.86,63057.21,63318.8
1715029200,63318.8,63606.59,63318.16,63556.83
1715032800,63556.83,63575.61,63415.24,63502.37
1715036400,63502.28,63502.82,63141.22,63172.1
1715040000,63172.1,63651.45,62964.17,63545.03
1715043600,63545.03,63966.64,63480.87,63894.37
1715047200,63894.43,63948.73,63627.59,63704.24
1715050800,63703.67,63734.1,62860.34,63236.6
1715054400,63236.6,63464.49,63096.77,63462.23
1715058000,63462.23,63716.11,63245.29,63560.03
1715061600,63560.04,63708.55,63397.3,63623.37
1715065200,63623.37,63843.07,63550.43,63669.35
1715068800,63669.35,64394.22,63596.62,64231.96
1715072400,64231.93,64363.82,64067.81,64119.56
1715076000,64119.55,64170.74,63762.49,64087.27
1715079600,64087.27,64119.91,63374.11,63486.99
1715083200,63487.06,63756.33,63475.91,63664.37
1715086800,63664.37,63715.66,63120.29,63209.92
1715090400,63210.61,64061.86,63097.75,64050.2
1715094000,64049.89,64309.21,63623.25,63740.1
1715097600,63740.1,63893.54,63485.75,63630.01
1715101200,63629.82,63652.29,63317.54,63390.15
1715104800,63389.86,63393.16,62809.49,63168.65
1715108400,63169,63266.6,62972.54,63062.98
1715112000,63063.42,63194.78,62900.16,62973.84
1715115600,62973.84,63159.48,62836.01,63072.72
1715119200,63072.94,63112.74,62759.9,62851.13
1715122800,62850.86,62875.58,62268.25,62315.67
1715126400,62315.67,62701.75,62123.29,62588.97
1715130000,62588.31,62712.58,62436.66,62531.32
1715133600,62531.32,62849.48,62530.37,62764.62
1715137200,62764.27,62965.41,62590.96,62894.36
1715140800,62894.41,63010.56,62369.68,62523.88
1715144400,62524.67,62747.3,62368.8,62615.78
1715148000,62615.58,62709.5,62141.32,62503.87
1715151600,62503.87,62601,62093.29,62205.27
1715155200,62205.5,62417.82,62055.07,62373.61
1715158800,62373.98,62419.27,62087.41,62303
1715162400,62303,62517.73,62264.46,62450.72
1715166000,62452.8,62506.12,62141.38,62238.46
1715169600,62238.77,62448.61,62095.99,62238.71
1715173200,62238.71,62456.51,61791.07,62438.09
1715176800,62438.12,62816.08,62162.1,62562.96
1715180400,62563.62,62606.86,61906.27,62274.43
1715184000,62274.38,62442.69,62002.69,62442.36
1715187600,62443.22,62670.96,62369.09,62593.55
1715191200,62593.67,62758.39,62452.24,62513.57
1715194800,62513.57,62537.59,61961.83,62173.05
1715198400,62173.05,62243.58,61453.48,61574.74
1715202000,61574.73,61753.44,61395.56,61490.76
1715205600,61490.76,61569.87,61110.21,61253.57
1715209200,61253.57,61271.29,60887.89,61198.71
1715212800,61197.92,61441.86,61120.69,61378.1
1715216400,61378.15,61540.19,61359.96,61525.09
1715220000,61524.77,61665.32,61466.08,61641.56
1715223600,61641.92,61776.86,61403.62,61654.29
